sub_industry,industry,sector
Meter Manufacturers & Suppliers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Mexican Restaurants,Food and Beverage Services,Accommodation Services
Mezzanine Flooring Service,Building Construction,Construction
Micro Chipping,Veterinary Services,Professional Services
Microbreweries,Food and Beverage Manufacturing,Manufacturing
Microbrewing,Food and Beverage Manufacturing,Manufacturing
Microchipping,Veterinary Services,Professional Services
Microfilming Services,IT Services and IT Consulting,Professional Services
Microwave Ovens,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Midwives,Health and Human Services,Government Administration
Military Equipment Dealers,Military and International Affairs,Government Administration
Military Recruitment,Military and International Affairs,Government Administration
Military Reserve Force,Military and International Affairs,Government Administration
Military Vehicles,Transportation Equipment Manufacturing,Manufacturing
Milk,Food and Beverage Manufacturing,Manufacturing
Milkshakes,Food and Beverage Retail,Retail
Millinery Manufacturers & Wholesalers,Apparel Manufacturing,Manufacturing
Mills & Millers,Food and Beverage Manufacturing,Manufacturing
Mineral Merchants,Wholesale Metals and Minerals,Wholesale
Minerals Metals Trading,Wholesale Metals and Minerals,Wholesale
Mini Bus Hire,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Mini Bus Self Drive Hire/rental,Equipment Rental Services,Real Estate and Equipment Rental Services
Mini Cabs,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Minor Equine Services,Ranching and Fisheries,"Farming, Ranching, Forestry"
Mirrors & Decorative Glass,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
"Mixed Agriculture, Mixed Cropping",Farming,"Farming, Ranching, Forestry"
Mobile App Development/Software Companies,IT Services and IT Consulting,Professional Services
Mobile Bars,Food and Beverage Services,Accommodation Services
Mobile Beautician,Personal and Laundry Services,Consumer Services
Mobile Car Mechanics,Repair and Maintenance,Consumer Services
Mobile Carers,Individual and Family Services,Hospitals and Health Care
Mobile Coffee Bar,Food and Beverage Retail,Retail
Mobile Cranes,Machinery Manufacturing,Manufacturing
Mobile Disco & Dj Services,Events Services,Administrative and Support Services
Mobile Engineers,Engineering Services,Professional Services
Mobile Enterprise,IT Services and IT Consulting,Professional Services
Mobile Games,"Technology, Information and Internet","Technology, Information and Media"
Mobile Hairdresser,Personal and Laundry Services,Consumer Services
Mobile Homes,Real Estate,Real Estate and Equipment Rental Services
Mobile Kitchen & Mobile Catering,Food and Beverage Services,Accommodation Services
Mobile Marketing,Advertising Services,Professional Services
Mobile Nail Technicians,Personal and Laundry Services,Consumer Services
Mobile Phone Accessories & Car Kits,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Mobile Phone Repairs,Repair and Maintenance,Consumer Services
Mobile Phones,Computers and Electronics Manufacturing,Manufacturing
Mobile Supply Chain Management,Business Consulting and Services,Professional Services
Mobility Equipment,Medical Equipment Manufacturing,Manufacturing
Model Makers,Artists and Writers,Entertainment Providers
Model Shops/hobby Stores,Retail Office Supplies and Gifts,Retail
Modelling Agencies,Staffing and Recruiting,Administrative and Support Services
Modern Italian Menu,Food and Beverage Services,Accommodation Services
Moffatt Fitted Rigid & Artic Vehicles,Transportation Equipment Manufacturing,Manufacturing
Money Transfer Services,Credit Intermediation,Financial Services
Monumental Masons,Specialty Trade Contractors,Construction
Mortar Manufacturers,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Mortgage Brokers,Credit Intermediation,Financial Services
Mortgages - Commercial,Credit Intermediation,Financial Services
Mortgages - Direct,Credit Intermediation,Financial Services
Mot Testing Centres/garages,Repair and Maintenance,Consumer Services
Motor Cycle Breakdown & Recovery Services,Repair and Maintenance,Consumer Services
Motor Cycle Breakers & Dismantlers,Transportation Equipment Manufacturing,Manufacturing
Motor Cycle Hire,Equipment Rental Services,Real Estate and Equipment Rental Services
"Motor Cycle Repairs Garages, Shops",Repair and Maintenance,Consumer Services
Motor Factors,Wholesale Motor Vehicles and Parts,Wholesale
"Motorcycle & Parts, Component Manufacturers",Transportation Equipment Manufacturing,Manufacturing
Motorcycle Clothing & Accessories,Retail Apparel and Fashion,Retail
Motorcycle Parts & Accessories,Retail Motor Vehicles,Retail
Motorcycle Training/driving Schools,Professional Training and Coaching,Education
Motorcycles & Scooters,Retail Motor Vehicles,Retail
Motorhomes,Transportation Equipment Manufacturing,Manufacturing
Motoring Organisations,Civic and Social Organizations,Consumer Services
Motorsport,Performing Arts and Spectator Sports,Entertainment Providers
Mould Manufacturers,Plastics and Rubber Product Manufacturing,Manufacturing
Mouth Fresheners,Food and Beverage Manufacturing,Manufacturing
Move Management,Business Consulting and Services,Professional Services
Moving Goods,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Multi Carrier Distribution,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Multichannel Fulfilment,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Multidisciplinary Environmental Consultancy,Environmental Quality Programs,Government Administration
Multidrop Delivery Driver Recruitment,Staffing and Recruiting,Administrative and Support Services
Multimedia & Electronic Book Publishers,Media and Telecommunications,"Technology, Information and Media"
Multiplex Installations,Building Construction,Construction
Multisite Marketing,Advertising Services,Professional Services
Munitions Response,Military and International Affairs,Government Administration
Museums,"Museums, Historical Sites, and Zoos",Entertainment Providers
Mushroom Growers & Packers,Farming,"Farming, Ranching, Forestry"
Music,Performing Arts and Spectator Sports,Entertainment Providers
Music Broadcaster,Media and Telecommunications,"Technology, Information and Media"
Music Industry,Performing Arts and Spectator Sports,Entertainment Providers
Music Instruments Manufacturers,Fabricated Metal Products,Manufacturing
Music Management & Promotion,Media and Telecommunications,"Technology, Information and Media"
Music Production,Media and Telecommunications,"Technology, Information and Media"
Music Publishers,Media and Telecommunications,"Technology, Information and Media"
Music Schools,Technical and Vocational Training,Education
Music Shops,Retail Musical Instruments,Retail
Music Teachers,Technical and Vocational Training,Education
Musical Instrument Tuning & Repairs,Repair and Maintenance,Consumer Services
Musical Instruments & Sheet Music,Retail Musical Instruments,Retail
Musicians & Composers,Musicians,Entertainment Providers
Nail Technicians,Personal and Laundry Services,Consumer Services
Name Brand Products,Retail Apparel and Fashion,Retail
Nanny Agencies,Household Services,Consumer Services
National Associations,Civic and Social Organizations,Consumer Services
Natural & Sustainable Flavours,Food and Beverage Manufacturing,Manufacturing
Natural Calcium,Chemical Manufacturing,Manufacturing
Natural Grocery Sales,Food and Beverage Retail,Retail
Natural Products,Retail Health and Personal Care Products,Retail
Natural Resource Assessment,Environmental Quality Programs,Government Administration
Natural Sports Nutrition,Food and Beverage Manufacturing,Manufacturing
Natural Vitamin E,Chemical Manufacturing,Manufacturing
Nature Based Solutions,Environmental Quality Programs,Government Administration
Neapolitan Pizza & Gelato,Food and Beverage Services,Accommodation Services
Nepalese Restaurants,Food and Beverage Services,Accommodation Services
Neurology,Medical Practices,Hospitals and Health Care
Neurosurgery,Medical Practices,Hospitals and Health Care
New & Used Car Sales,Retail Motor Vehicles,Retail
New & Used Scania Vehicle Sales,Retail Motor Vehicles,Retail
New & Used Spare Parts,Wholesale Motor Vehicles and Parts,Wholesale
New & Used Vehicle Sales,Retail Motor Vehicles,Retail
New Age Shops,Retail Apparel and Fashion,Retail
New Covent Garden Soup,Food and Beverage Manufacturing,Manufacturing
New Product Development,Business Consulting and Services,Professional Services
New World Whisky,Wholesale Alcoholic Beverages,Wholesale
News & Photo Agencies,Media and Telecommunications,"Technology, Information and Media"
Newsagents,Retail Books and Printed News,Retail
Newspaper & Magazine Publishers,Media and Telecommunications,"Technology, Information and Media"
Newspaper Wholesale,Retail Books and Printed News,Retail
Next day International Logistics & Storage,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Next Day Parcel Delivery,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Nfc,"Technology, Information and Internet","Technology, Information and Media"
Ngo,Non-profit Organizations,Consumer Services
Nhs,Hospitals,Hospitals and Health Care
Nickel Aluminium Bronze Valves,Fabricated Metal Products,Manufacturing
Night Clubs,Food and Beverage Services,Accommodation Services
Nightclubs,Food and Beverage Services,Accommodation Services
Nightvision,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Non Hazardous Tankering,"Water, Waste, Steam, and Air Conditioning Services",Utilities
Non-destructive Testing (ndt) Engineer,Engineering Services,Professional Services
Non-Ferrous Metals,Primary Metal Manufacturing,Manufacturing
Nonalcoholic Drinks,Food and Beverage Manufacturing,Manufacturing
Nonalcoholic Drinks & Zero Proof Beverages,Food and Beverage Manufacturing,Manufacturing
Noncarbonated Beverage Production & Conversion,Food and Beverage Manufacturing,Manufacturing
Nonprofits,Non-profit Organizations,Consumer Services
Nonsurgical Facial Rejuvenation,Personal and Laundry Services,Consumer Services
Nonsurgical Treatments,Personal and Laundry Services,Consumer Services
Notary Publics,Legal Services,Professional Services
Notebooks,Paper and Forest Product Manufacturing,Manufacturing
Novelty Balloons,Plastics and Rubber Product Manufacturing,Manufacturing
Nuclear Waste Remediation,Environmental Quality Programs,Government Administration
Nukeproof,Security and Investigations,Administrative and Support Services
Number Plates,Transportation Equipment Manufacturing,Manufacturing
Numerical Weather Prediction,Environmental Quality Programs,Government Administration
Nurse Clinics,Medical Practices,Hospitals and Health Care
Nurseries & Creche,Individual and Family Services,Hospitals and Health Care
Nursery Schools,Primary and Secondary Education,Education
"Nurserymen - Trees, Shrubs & Bonsai",Farming,"Farming, Ranching, Forestry"
Nursing Care,Health and Human Services,Government Administration
Nursing Homes,Nursing Homes and Residential Care Facilities,Hospitals and Health Care
Nutraceuticals,Food and Beverage Manufacturing,Manufacturing
Nutrition,Health and Human Services,Government Administration
Nutrition & Health Care Advice/conselling,Medical Practices,Hospitals and Health Care
Nutritional Products,Food and Beverage Manufacturing,Manufacturing
"Nuts, Bolts & Washers",Fabricated Metal Products,Manufacturing
Occupational Safety And Health,Business Consulting and Services,Professional Services
Occupational Therapist,Health and Human Services,Government Administration
Occupational Therapy,Health and Human Services,Government Administration
Office Catering,Food and Beverage Services,Accommodation Services
Office Clearance,Facilities Services,Administrative and Support Services
Office Coffee Solutions,Food and Beverage Retail,Retail
Office Equipment Manufacturers & Distributors,"Wholesale Appliances, Electrical, and Electronics",Wholesale
Office Equipment Servicing & Maintenance,Repair and Maintenance,Consumer Services
Office Fit Out,Specialty Trade Contractors,Construction
Office Furniture & Equipment,Retail Office Equipment,Retail
Office Furniture & Equipment Hire,Equipment Rental Services,Real Estate and Equipment Rental Services
Office Furniture Installation,Repair and Maintenance,Consumer Services
Office Hot Drinks,Food and Beverage Retail,Retail
Office Planning & Design Services,Architecture and Planning,Professional Services
Office Premises - Retail,Real Estate,Real Estate and Equipment Rental Services
Office Recycling,Retail Recyclable Materials & Used Merchandise,Retail
Office Refurbishment Services,Building Construction,Construction
Office Removals,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Office Services,Business Consulting and Services,Professional Services
Office Space,Real Estate,Real Estate and Equipment Rental Services
Office Stationery Supplies & Retail,Retail Office Supplies and Gifts,Retail
Office Supplies,Retail Office Supplies and Gifts,Retail
Official Control,Public Policy Offices,Government Administration
Offsite Catering,Food and Beverage Services,Accommodation Services
Oil & Gas Exploration Supplies & Services,Oil and Gas,"Oil, Gas, and Mining"
Oil & Gas Extraction,Oil and Gas,"Oil, Gas, and Mining"
Oil And Gas Companies,Oil and Gas,"Oil, Gas, and Mining"
Oil Companies,Oil and Gas,"Oil, Gas, and Mining"
Oil Fired Heating Equipment,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Oil Fuel Distributors,Wholesale Petroleum and Petroleum Products,Wholesale
Oil Spill Response,Environmental Quality Programs,Government Administration
Oil Tanks,Oil and Gas,"Oil, Gas, and Mining"
Oil Trading,Capital Markets,Financial Services
Oils - Edible,Food and Beverage Manufacturing,Manufacturing
Oleoresins,Chemical Manufacturing,Manufacturing
Olive,Farming,"Farming, Ranching, Forestry"
On Board Courier,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
On Trade & Off Licence,Food and Beverage Retail,Retail
Ondemand Food Delivery,Food and Beverage Services,Accommodation Services
One Way Back Loads,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Online & Digital Marketing,Advertising Services,Professional Services
Online Agency,IT Services and IT Consulting,Professional Services
Online Booking,Travel Arrangements,Administrative and Support Services
Online Business Strategy,Business Consulting and Services,Professional Services
Online Dating,"Technology, Information and Internet","Technology, Information and Media"
Online Food Delivery,Food and Beverage Services,Accommodation Services
Online Fulfillment Portal,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Online Home Retailer,Online and Mail Order Retail,Retail
Online Marketing,Advertising Services,Professional Services
Online Marketplace,Online and Mail Order Retail,Retail
Online Motocross Shop,Online and Mail Order Retail,Retail
Online Ordering,IT Services and IT Consulting,Professional Services
Online Platform,IT Services and IT Consulting,Professional Services
Online Reputation Management,IT Services and IT Consulting,Professional Services
Online Retail,Online and Mail Order Retail,Retail
Online Reviews,IT Services and IT Consulting,Professional Services
Online Supplier Assessments,Business Consulting and Services,Professional Services
Online Travel,Travel Arrangements,Administrative and Support Services
Ooh Emergency Care,Hospitals,Hospitals and Health Care
Open Training Workshops,Professional Training and Coaching,Education
Operational Excellence,Business Consulting and Services,Professional Services
Operational Expertise,Business Consulting and Services,Professional Services
Operational Leasing,Equipment Rental Services,Real Estate and Equipment Rental Services
"Operatives Housing Associations, Societies, Trusts & Co",Housing and Community Development,Government Administration
Ophthalmology,Medical Practices,Hospitals and Health Care
Opthalmology,Medical Practices,Hospitals and Health Care
Optical Goods Manufacturers,Medical Equipment Manufacturing,Manufacturing
Organic & Natural Food,Food and Beverage Manufacturing,Manufacturing
Organic Dairy,Food and Beverage Manufacturing,Manufacturing
Organic Foods,Food and Beverage Manufacturing,Manufacturing
Organic Herbal Tea,Food and Beverage Manufacturing,Manufacturing
Organs & Organ Accessories Sales & Service,Medical Equipment Manufacturing,Manufacturing
Oriental Carpets & Rugs,Retail Furniture and Home Furnishings,Retail
Oriental Restaurants,Food and Beverage Services,Accommodation Services
Ornamental Metalwork,Fabricated Metal Products,Manufacturing
Ornithology,Research Services,Professional Services
Orthocare Medical Equipment,Medical Equipment Manufacturing,Manufacturing
Orthodontist,Medical Practices,Hospitals and Health Care
Orthopaedic,Medical Practices,Hospitals and Health Care
Orthopaedics,Medical Practices,Hospitals and Health Care
Orthopedic Surgery,Medical Practices,Hospitals and Health Care
Orthotic Insoles,Medical Equipment Manufacturing,Manufacturing
Osteopaths,Medical Practices,Hospitals and Health Care
Other Helplines,Community Services,Hospitals and Health Care
Other Restaurants,Food and Beverage Services,Accommodation Services
Out Equipment Cash Registers & Check,Retail Office Equipment,Retail
Out-of-home Advertising,Advertising Services,Professional Services
Outdoor & Garden,Retail Building Materials and Garden Equipment,Retail
Outdoor Clothing & Equipment,Retail Apparel and Fashion,Retail
Outdoor Food,Food and Beverage Retail,Retail
Outdoor Pursuit Organisers,Events Services,Administrative and Support Services
Outdoor Pursuits Equipment Rental,Equipment Rental Services,Real Estate and Equipment Rental Services
"Outdoor, Garden & Patio Furniture",Furniture and Home Furnishings Manufacturing,Manufacturing
"Outdoor, Garden & Patio Furniture Wholesalers",Wholesale Furniture and Home Furnishings,Wholesale
Outlet Centres Development & Outlet Centres Management,Real Estate,Real Estate and Equipment Rental Services
Outsourced Logistics,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Outsourced Purchasing,Business Consulting and Services,Professional Services
Outsourced Waste Management Solutions,Environmental Quality Programs,Government Administration
Outsourcing Logistics,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Oven Cleaning,Household Services,Consumer Services
Oven Manufacturers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Overnight Shipping,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Overseas Business Expansion,Business Consulting and Services,Professional Services
Overseas Property Agents,Real Estate,Real Estate and Equipment Rental Services
Overseas Warehousing,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Oversize Cargo,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Own Brand Drinks Creation,Food and Beverage Manufacturing,Manufacturing
Owner Managed Companies & Contractors,Business Consulting and Services,Professional Services
Packaged Beer,Food and Beverage Manufacturing,Manufacturing
Packaged Fruit,Food and Beverage Manufacturing,Manufacturing
Packaging,Plastics and Rubber Product Manufacturing,Manufacturing
Packaging & Containers,Plastics and Rubber Product Manufacturing,Manufacturing
Packaging & Wrapping Equipment & Supplies,Wholesale Machinery,Wholesale
Packaging Materials Manufacturers & Suppliers,Plastics and Rubber Product Manufacturing,Manufacturing
Packers,Food and Beverage Manufacturing,Manufacturing
Packets,Plastics and Rubber Product Manufacturing,Manufacturing
Packing & Moving,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Paging Systems,Media and Telecommunications,"Technology, Information and Media"
Paint & Varnish Stripping,Repair and Maintenance,Consumer Services
Paint Manufacturer,Chemical Manufacturing,Manufacturing
Paint Manufacturers,Chemical Manufacturing,Manufacturing
Paint shop,Repair and Maintenance,Consumer Services
"Paint Sprayers, Spray Guns, & Accessories Supplies","Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Paintball Games,Performing Arts and Spectator Sports,Entertainment Providers
Paintball Suppliers,Sporting Goods Manufacturing,Manufacturing
Painters & Decorators,Specialty Trade Contractors,Construction
Painting & Decorating Supplies,Retail Building Materials and Garden Equipment,Retail
Painting Contractors,Specialty Trade Contractors,Construction
"Paints, Lacquers, And Varnishes",Chemical Manufacturing,Manufacturing
Pallet & Parcel Distribution,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Pallet Deliveries,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Pallet Delivery,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Pallet Furniture,Furniture and Home Furnishings Manufacturing,Manufacturing
Pallet Management Software,IT Services and IT Consulting,Professional Services
Pallet Network,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Pallet Racking,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Pallet Racking Systems,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Pallet Repairs,Repair and Maintenance,Consumer Services
Pallet Storage,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Palletised & Nonpalletised Goods,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Palletised Deliveries,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Palletised Distribution,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
"Pallets, Crates & Packing Cases",Wood Product Manufacturing,Manufacturing
Pallex Overnight Pallet Distribution,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Palliative Care And Hospice Care,Nursing Homes and Residential Care Facilities,Hospitals and Health Care
Pancreatic Enzymes,Medical Equipment Manufacturing,Manufacturing
Paper & Board Supplies,Wholesale Paper Products,Wholesale
Paper & Cardboard Products & Packaging - Manufacturers,Paper and Forest Product Manufacturing,Manufacturing
Paper Merchants,Wholesale Paper Products,Wholesale
Paper Pattern Makers,Apparel Manufacturing,Manufacturing
Paper Waste Merchants & Collectors,Retail Recyclable Materials & Used Merchandise,Retail
Parachuting,Recreational Facilities,Entertainment Providers
Paragliding & Hang Gliding,Recreational Facilities,Entertainment Providers
Parcel Services,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Parties & Private Functions,Events Services,Administrative and Support Services
Partitions & Cubicles/refurbishment Service,Specialty Trade Contractors,Construction
Partnerships,Legal Services,Professional Services
Party Goods & Novelties,Retail Office Supplies and Gifts,Retail
Party Organisers,Events Services,Administrative and Support Services
Party Plan Agents,Business Consulting and Services,Professional Services
Passport Services,Public Policy Offices,Government Administration
Pastured Farming,Farming,"Farming, Ranching, Forestry"
Patent Agents,Legal Services,Professional Services
Patent Services,Legal Services,Professional Services
Paternity Testing (dna),Medical Practices,Hospitals and Health Care
Patient Advocacy,Health and Human Services,Government Administration
Patio & Driveway Cleaning & Services,Household Services,Consumer Services
Patio Doors Supplier / Installer,Building Construction,Construction
Pattern & Sample Books,Printing Services,Manufacturing
Paving & Driveway Contractors,Specialty Trade Contractors,Construction
Paving Supplies,Wholesale Building Materials,Wholesale
Pawnbrokers,Credit Intermediation,Financial Services
Payday Loans & Cheque Cashing,Credit Intermediation,Financial Services
Payment Solution,IT Services and IT Consulting,Professional Services
Payroll Services,Office Administration,Administrative and Support Services
Pc/laptop Manufacturers & Oem Manufacturers,Computers and Electronics Manufacturing,Manufacturing
Peaceful Civil Disobedience,Civic and Social Organizations,Consumer Services
Pension Consultants,Funds and Trusts,Financial Services
Pensions,Funds and Trusts,Financial Services
Performance Analysis,Business Consulting and Services,Professional Services
Performance Wear,Apparel Manufacturing,Manufacturing
Personal Branding,Business Consulting and Services,Professional Services
Personal Caring Service,Individual and Family Services,Hospitals and Health Care
Personal Chef,Food and Beverage Services,Accommodation Services
Personal Development,Professional Training and Coaching,Education
Personal Service,Personal and Laundry Services,Consumer Services
Personal Tax Returns,Accounting,Professional Services
Personal Trainers,Professional Training and Coaching,Education
Personal Wine Advisors,Food and Beverage Retail,Retail
Personalised Cards,Printing Services,Manufacturing
Personalised Gifts,Online and Mail Order Retail,Retail
Personnel Supply,Staffing and Recruiting,Administrative and Support Services
Peruvian Cuisine,Food and Beverage Services,Accommodation Services
Peruvian Cuisines,Food and Beverage Services,Accommodation Services
Pest Control,Facilities Services,Administrative and Support Services
Pest Control Services,Facilities Services,Administrative and Support Services
Pet Adoption,Veterinary Services,Professional Services
Pet Boarding,Veterinary Services,Professional Services
Pet Care,Veterinary Services,Professional Services
Pet Cemeteries & Crematoria,Veterinary Services,Professional Services
Pet Cremations,Veterinary Services,Professional Services
Pet Food,Food and Beverage Manufacturing,Manufacturing
Pet Food Manufacturing,Food and Beverage Manufacturing,Manufacturing
Pet Foods & Animal Feeds,Food and Beverage Manufacturing,Manufacturing
Pet Health,Veterinary Services,Professional Services
Pet Insurance,Insurance,Financial Services
Pet Nutrition,Veterinary Services,Professional Services
Pet Products,Veterinary Services,Professional Services
Pet Relocation,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Pet Relocation & Pet Transport,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Pet Services,Veterinary Services,Professional Services
Pet Shops & Pet Supplies,Veterinary Services,Professional Services
Pet Sitters Form & Contracts,Legal Services,Professional Services
Pet Sitting,Household Services,Consumer Services
Pet Supplies,Veterinary Services,Professional Services
Pet Taxi,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Pet Taxi Service,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Pet Weight Management,Veterinary Services,Professional Services
Petroleum Products - Manufacturers,Oil and Coal Product Manufacturing,Manufacturing
Pharmaceutical Manufacturers & Distributors,Wholesale Drugs and Sundries,Wholesale
Phlebotomy,Medical Practices,Hospitals and Health Care
Phone Card Sales,Media and Telecommunications,"Technology, Information and Media"
Photo & Digital Imaging,Photography,Professional Services
Photo Studio Equipment Wholesaler & Wholesale Dealers,Wholesale Photography Equipment and Supplies,Wholesale
Photocopier Toner & Photocopier Consumables,Retail Office Supplies and Gifts,Retail
Photocopiers,Retail Office Equipment,Retail
Photocopying Faxing,Printing Services,Manufacturing
Photographic Equipment Makers,Computers and Electronics Manufacturing,Manufacturing
Photographic Equipment Repairs,Repair and Maintenance,Consumer Services
Photographic Processors,Photography,Professional Services
Photographic Restoration,Photography,Professional Services
Photography,Photography,Professional Services
Photography Courses,Professional Training and Coaching,Education
Photography Studios,Photography,Professional Services
Physical Activity,Medical Practices,Hospitals and Health Care
Physician Recruitment,Staffing and Recruiting,Administrative and Support Services
Physiotherapist,Health and Human Services,Government Administration
Physiotherapy,Health and Human Services,Government Administration
Physiotherapy & Allied Healthcare,Health and Human Services,Government Administration
Piano Tuning & Keyboard Service,Repair and Maintenance,Consumer Services
Pianos & Accessories,Retail Musical Instruments,Retail
Piattaforma Video Professionale,Media and Telecommunications,"Technology, Information and Media"
Pick Pack,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Picture Frame Renovating & Restoring Service,Repair and Maintenance,Consumer Services
Pies,Food and Beverage Manufacturing,Manufacturing
Pilates,Health and Human Services,Government Administration
Pine Furniture,Furniture and Home Furnishings Manufacturing,Manufacturing
Pipe Relining,Pipeline Transportation,"Transportation, Logistics, Supply Chain and Storage"
Pipelines,Pipeline Transportation,"Transportation, Logistics, Supply Chain and Storage"
Pipework Contractors,Building Construction,Construction
Pizza Restaurants,Food and Beverage Services,Accommodation Services
Plant & Machinery Dealers,Wholesale Machinery,Wholesale
Plant & Machinery Hire,Equipment Rental Services,Real Estate and Equipment Rental Services
Plant & Machinery Hire & Leasing,Equipment Rental Services,Real Estate and Equipment Rental Services
Plant & Machinery Installation,Building Construction,Construction
Plant & Machinery Manufacturers,Machinery Manufacturing,Manufacturing
Plant & Machinery Repairs,Repair and Maintenance,Consumer Services
Plant Hire,Equipment Rental Services,Real Estate and Equipment Rental Services
Plantbased Groceries,Food and Beverage Retail,Retail
Plantbased Protein,Food and Beverage Manufacturing,Manufacturing
Plasma & Lcd Screens,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Plaster Ware,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Plasterers/wall Installation And Repair,Specialty Trade Contractors,Construction
Plastic Boxes,Plastics and Rubber Product Manufacturing,Manufacturing
Plastic Coating Services,Plastics and Rubber Product Manufacturing,Manufacturing
Plastic Injection Molding,Plastics and Rubber Product Manufacturing,Manufacturing
Plastic Injection Moulding,Plastics and Rubber Product Manufacturing,Manufacturing
Plastic Raw Material,Plastics and Rubber Product Manufacturing,Manufacturing
Plastic Recycling Service,Environmental Quality Programs,Government Administration
Plastic Security Seals,Security and Investigations,Administrative and Support Services
Plastic Surgery,Medical Practices,Hospitals and Health Care
Plastics,Plastics and Rubber Product Manufacturing,Manufacturing
Plastics Extrusion,Plastics and Rubber Product Manufacturing,Manufacturing
Plastics Machinery & Equipment Manufacturers,Machinery Manufacturing,Manufacturing
Plastics Vacuum Forming,Plastics and Rubber Product Manufacturing,Manufacturing
Playground Equipment,Sporting Goods Manufacturing,Manufacturing
Plumber Merchants,"Wholesale Hardware, Plumbing, Heating Equipment",Wholesale
Plumbers,Repair and Maintenance,Consumer Services
Plumbing & Sanitation Pipes & Fittings,"Wholesale Hardware, Plumbing, Heating Equipment",Wholesale
Plumbing leaky Faucets burst Pipes clogged Drains,Repair and Maintenance,Consumer Services
Plus Size Clothing,Retail Apparel and Fashion,Retail
Pneumatic Engineers,Engineering Services,Professional Services
Pneumatic Systems & Equipment,Machinery Manufacturing,Manufacturing
Point Of Sale,Retail Office Equipment,Retail
Point Of Sale Displays,Retail Office Equipment,Retail
Pointing Building Service,Building Construction,Construction
Pole And Lap Dancing,Recreational Facilities,Entertainment Providers
Police,Administration of Justice,Government Administration
Police Support Services,Administration of Justice,Government Administration
Political Parties,Civic and Social Organizations,Consumer Services
Polythene & Plastic Sheeting Supplies,Plastics and Rubber Product Manufacturing,Manufacturing
Pond Cleaning & Maintenance,Facilities Services,Administrative and Support Services
Pond Contractors,Specialty Trade Contractors,Construction
Pools Promoters,Recreational Facilities,Entertainment Providers
Popcorn Equipment,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Porch Canopies,Building Construction,Construction
Port Management,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Portable Appliance Testing,Repair and Maintenance,Consumer Services
Portable Buildings,Building Construction,Construction
Portable Tanks,Oil and Gas,"Oil, Gas, and Mining"
